ID,regaty,klub,miejsceWRegatach
56532132,68966834,AWF,2
49250726,68966834,YSZ,3
60176502,68966834,WRO,4
6723799,68966834,GSP,5
34905778,68966834,GRP,6
20216534,68966834,KKZ,7
26523836,68966834,HRM,8
55353717,68966834,AKA,9
70595355,68966834,NIE,10
67449686,68966834,YS2,11
56441691,68966834,OCC,12
85356331,68966834,LE2,13
27290877,68966834,LAS,14
67629809,68966834,NAV,15
16185194,68966834,RBP,16
34832191,68966834,ETI,17
18376764,68966834,POW,18
56080830,31071604,YKL,1
58414336,31071604,HRM,2
83617658,31071604,RSR,3
45925401,31071604,NAV,4
49927293,31071604,YS2,5
56748542,31071604,AKA,6
70319243,31071604,POL,7
78433971,31071604,GRP,8
73309149,31071604,DZY,9
47027478,31071604,KKZ,10
88723165,31071604,JSG,11
92122621,31071604,WOL,12
42634777,31071604,SLA,13
85610972,31071604,PJK,14
8389088,31071604,OCC,15
84365795,31071604,ETI,16
8326606,31071604,LAS,17
37862757,31071604,NIE,18
90113974,59609769,RSR,1
6612595,59609769,KKZ,2
78054913,59609769,PJK,3
91623347,59609769,NAV,4
11529398,59609769,POL,5
51553621,59609769,OCC,6
65002448,59609769,YKL,7
88740440,59609769,AKA,8
67241629,59609769,HRM,9
33558708,59609769,YS2,10
98094487,59609769,NIE,11
64049571,59609769,SLA,12
40825023,59609769,JSG,13
12939021,59609769,DZY,14
76119421,59609769,WOL,15
9285116,59609769,GRP,16
30615342,59609769,LAS,17
67723714,59609769,ETI,18
64680356,51626046,HRM,1
22049552,51626046,RSR,2
62561721,51626046,POL,3
5773030,51626046,YKL,4
5600304,51626046,PJK,5
22750052,51626046,KKZ,6
34206007,51626046,YS2,7
44823721,51626046,AKA,8
87930391,51626046,JSG,9
59238318,51626046,NIE,10
88695398,51626046,SLA,11
82797027,51626046,OCC,12
34710464,51626046,ETI,13
74801964,51626046,LAS,14
38244505,51626046,DZY,15
18003181,51626046,WOL,16
73502274,51626046,NAV,17
91485815,51626046,GRP,18
64136117,72870325,HRM,1
14914951,72870325,RSR,2
32709525,72870325,OCC,3
56816783,72870325,NIE,4
38091868,72870325,YKL,5
21679828,72870325,POL,6
49017196,72870325,AKA,7
33214008,72870325,JSG,8
5363861,72870325,SLA,9
22030061,72870325,KKZ,10
39681011,72870325,YS2,11
53293315,72870325,DZY,12
51461902,72870325,ETI,13
32419649,72870325,GRP,14
62021685,72870325,PJK,15
15187339,72870325,NAV,16
33405996,72870325,WOL,17
85584353,72870325,LAS,18
88188477,10285883,OCC,1
69183076,10285883,WOL,2
41155071,10285883,SPO,3
72730027,10285883,KKZ,4
28430311,10285883,JSG,5
95939876,10285883,ODY,6
39558030,10285883,YS2,7
4066424,10285883,GAR,8
44346996,10285883,NIE,9
53991292,10285883,PJK,10
27998799,10285883,NAV,11
78062942,10285883,HAL,12
60235157,10285883,YCB,13
25064021,10285883,ETI,14
66731954,10285883,POW,15
30288685,10285883,SLA,16
50035071,10285883,MEW,17
64622264,10285883,GRP,18
43842361,50632845,SPO,1
24038140,50632845,YCB,2
89123703,50632845,SLA,3
38894923,50632845,WOL,4
