ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,Trening
902023,90202,202431,WRO,
154394,15439,202441,WRO,
582184,58218,202441,WRO,
412604,41260,202441,WRO,
891474,89147,202441,WRO,
313731,31373,202411,NSO,
99011,9901,202411,NSO,
997321,99732,202411,NSO,
162231,16223,202411,NSO,
11101,1110,202411,NSO,
313732,31373,202421,NSO,
997322,99732,202421,NSO,
99012,9901,202421,NSO,
162232,16223,202421,NSO,
11102,1110,202421,NSO,
786332,78633,202421,NSO,
313733,31373,202431,NSO,
99013,9901,202431,NSO,
997323,99732,202431,NSO,
162233,16223,202431,NSO,
786333,78633,202431,NSO,
313734,31373,202441,NSO,
99014,9901,202441,NSO,
162234,16223,202441,NSO,
11104,1110,202441,NSO,
997324,99732,202441,NSO,
786334,78633,202441,NSO,
635594,63559,202441,NSO,
25441,2544,202411,HRM,
408261,40826,202411,HRM,
3571,357,202411,HRM,
235251,23525,202411,HRM,
279091,27909,202411,HRM,
408262,40826,202421,HRM,
25442,2544,202421,HRM,
279092,27909,202421,HRM,
765802,76580,202421,HRM,
3572,357,202421,HRM,
279093,27909,202431,HRM,
408263,40826,202431,HRM,
25443,2544,202431,HRM,
3573,357,202431,HRM,
765803,76580,202431,HRM,
408264,40826,202441,HRM,
3574,357,202441,HRM,
25444,2544,202441,HRM,
235254,23525,202441,HRM,
279094,27909,202441,HRM,
765804,76580,202441,HRM,
954771,95477,202411,LEG,
217231,21723,202411,LEG,
700361,70036,202411,LEG,
463671,46367,202411,LEG,
444842,44484,202421,LEG,
411712,41171,202421,LEG,
463672,46367,202421,LEG,
130122,13012,202421,LEG,
130123,13012,202431,LEG,
444843,44484,202431,LEG,
463673,46367,202431,LEG,
411713,41171,202431,LEG,
444844,44484,202441,LEG,
130124,13012,202441,LEG,
463674,46367,202441,LEG,
411714,41171,202441,LEG,
673091,67309,202411,PGR,
521951,52195,202411,PGR,
718281,71828,202411,PGR,
920981,92098,202411,PGR,
670542,67054,202421,PGR,
367712,36771,202421,PGR,
521952,52195,202421,PGR,
718282,71828,202421,PGR,
718283,71828,202431,PGR,
181753,18175,202431,PGR,
673093,67309,202431,PGR,
670543,67054,202431,PGR,
652734,65273,202441,PGR,
47314,4731,202441,PGR,
201434,20143,202441,PGR,
670544,67054,202441,PGR,
732921,73292,202411,AWF,
695001,69500,202411,AWF,
18271,1827,202411,AWF,
211391,21139,202411,AWF,
18272,1827,202421,AWF,
732922,73292,202421,AWF,
211392,21139,202421,AWF,
695002,69500,202421,AWF,
964733,96473,202431,AWF,
695003,69500,202431,AWF,
18273,1827,202431,AWF,
211393,21139,202431,AWF,
211394,21139,202441,AWF,
942394,94239,202441,AWF,
695004,69500,202441,AWF,
18274,1827,202441,AWF,
481451,48145,202411,YKL,
822331,82233,202411,YKL,
526591,52659,202411,YKL,
880501,88050,202411,YKL,
55201,5520,202411,YKL,
481452,48145,202421,YKL,
822332,82233,202421,YKL,
55202,5520,202421,YKL,
671222,67122,202421,YKL,
481453,48145,202431,YKL,
822333,82233,202431,YKL,
880503,88050,202431,YKL,
526593,52659,202431,YKL,
481454,48145,202441,YKL,
822334,82233,202441,YKL,
526594,52659,202441,YKL,
55204,5520,202441,YKL,
549561,54956,202411,RSR,
241241,24124,202411,RSR,
206311,20631,202411,RSR,
46111,4611,202411,RSR,
549562,54956,202421,RSR,
866062,86606,202421,RSR,
46112,4611,202421,RSR,
206312,20631,202421,RSR,
549563,54956,202431,RSR,
206313,20631,202431,RSR,
866063,86606,202431,RSR,
46113,4611,202431,RSR,
866064,86606,202441,RSR,
549564,54956,202441,RSR,
206314,20631,202441,RSR,
46114,4611,202441,RSR,
113981,11398,202411,WOL,
796581,79658,202411,WOL,
21881,2188,202411,WOL,
363391,36339,202411,WOL,
113982,11398,202421,WOL,
363392,36339,202421,WOL,
20042,2004,202421,WOL,
796582,79658,202421,WOL,
468962,46896,202421,WOL,
113983,11398,202431,WOL,
363393,36339,202431,WOL,
20043,2004,202431,WOL,
21883,2188,202431,WOL,
363394,36339,202441,WOL,
21884,2188,202441,WOL,
113984,11398,202441,WOL,
20044,2004,202441,WOL,
980114,98011,202441,WOL,
269531,26953,202411,SPO,
93491,9349,202411,SPO,
636861,63686,202411,SPO,
37641,3764,202411,SPO,
108702,10870,202421,SPO,
636862,63686,202421,SPO,
93492,9349,202421,SPO,
269532,26953,202421,SPO,
37642,3764,202421,SPO,
37643,3764,202431,SPO,
241243,24124,202431,SPO,
93493,9349,202431,SPO,
108703,10870,202431,SPO,
37644,3764,202441,SPO,
93494,9349,202441,SPO,
241244,24124,202441,SPO,
108704,10870,202441,SPO,
764301,76430,202411,KKZ,
746631,74663,202411,KKZ,
872121,87212,202411,KKZ,
735281,73528,202411,KKZ,
746632,74663,202421,KKZ,
764302,76430,202421,KKZ,
735282,73528,202421,KKZ,
155342,15534,202421,KKZ,
764303,76430,202431,KKZ,
746633,74663,202431,KKZ,
155343,15534,202431,KKZ,
735283,73528,202431,KKZ,
746634,74663,202441,KKZ,
764304,76430,202441,KKZ,
155344,15534,202441,KKZ,
888764,88876,202441,KKZ,
62481,6248,202411,OCC,
940241,94024,202411,OCC,
261261,26126,202411,OCC,
70551,7055,202411,OCC,
810922,81092,202421,OCC,
775612,77561,202421,OCC,
217592,21759,202421,OCC,
321172,32117,202421,OCC,
70552,7055,202421,OCC,
62483,6248,202431,OCC,
940243,94024,202431,OCC,
70553,7055,202431,OCC,
261263,26126,202431,OCC,
752083,75208,202431,OCC,
752084,75208,202441,OCC,
62484,6248,202441,OCC,
940244,94024,202441,OCC,
976574,97657,202441,OCC,
