ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,WynikWRegatach,Trening
,15603428,9664111,NSO,,
,95363125,9664111,NSO,,
,69935946,9664111,NSO,,
,94977439,9664111,NSO,,
,52138719,9664111,NSO,,
,15603428,70902597,NSO,,
,69935946,70902597,NSO,,
,95363125,70902597,NSO,,
,94977439,70902597,NSO,,
,52138719,70902597,NSO,,
,60864164,70902597,NSO,,
,15603428,94367801,NSO,,
,95363125,94367801,NSO,,
,69935946,94367801,NSO,,
,94977439,94367801,NSO,,
,60864164,94367801,NSO,,
,15603428,74940339,NSO,,
,95363125,74940339,NSO,,
,94977439,74940339,NSO,,
,52138719,74940339,NSO,,
,69935946,74940339,NSO,,
,60864164,74940339,NSO,,
,56650447,74940339,NSO,,
,24307135,9664111,HRM,,
,60153375,9664111,HRM,,
,35452913,9664111,HRM,,
,95127241,9664111,HRM,,
,60557330,9664111,HRM,,
,60153375,70902597,HRM,,
,24307135,70902597,HRM,,
,60557330,70902597,HRM,,
,31221524,70902597,HRM,,
,35452913,70902597,HRM,,
,60557330,94367801,HRM,,
,60153375,94367801,HRM,,
,24307135,94367801,HRM,,
,35452913,94367801,HRM,,
,31221524,94367801,HRM,,
,60153375,74940339,HRM,,
,35452913,74940339,HRM,,
,24307135,74940339,HRM,,
,95127241,74940339,HRM,,
,60557330,74940339,HRM,,
,31221524,74940339,HRM,,
,53781072,9664111,LEG,,
,13647562,9664111,LEG,,
,65426102,9664111,LEG,,
,88404478,9664111,LEG,,
,71589137,70902597,LEG,,
,55069354,70902597,LEG,,
,88404478,70902597,LEG,,
,83892341,70902597,LEG,,
,83892341,94367801,LEG,,
,71589137,94367801,LEG,,
,88404478,94367801,LEG,,
,55069354,94367801,LEG,,
,71589137,74940339,LEG,,
,83892341,74940339,LEG,,
,88404478,74940339,LEG,,
,55069354,74940339,LEG,,
,30986928,9664111,PGR,,
,29313658,9664111,PGR,,
,99101256,9664111,PGR,,
,64982746,9664111,PGR,,
,94801578,70902597,PGR,,
,22027956,70902597,PGR,,
,29313658,70902597,PGR,,
,99101256,70902597,PGR,,
,99101256,94367801,PGR,,
,4182689,94367801,PGR,,
,30986928,94367801,PGR,,
,94801578,94367801,PGR,,
,62687687,74940339,PGR,,
,59502195,74940339,PGR,,
,87762857,74940339,PGR,,
,94801578,74940339,PGR,,
,95817148,9664111,AWF,,
,95999433,9664111,AWF,,
,48204045,9664111,AWF,,
,81240063,9664111,AWF,,
,48204045,70902597,AWF,,
,95817148,70902597,AWF,,
,81240063,70902597,AWF,,
,95999433,70902597,AWF,,
,83057212,94367801,AWF,,
,95999433,94367801,AWF,,
,48204045,94367801,AWF,,
,81240063,94367801,AWF,,
,81240063,74940339,AWF,,
,34328770,74940339,AWF,,
,95999433,74940339,AWF,,
,48204045,74940339,AWF,,
,38863535,9664111,YKL,,
,73821741,9664111,YKL,,
,41923142,9664111,YKL,,
,52305487,9664111,YKL,,
,73728079,9664111,YKL,,
,38863535,70902597,YKL,,
,73821741,70902597,YKL,,
,73728079,70902597,YKL,,
,32087038,70902597,YKL,,
,38863535,94367801,YKL,,
,73821741,94367801,YKL,,
,52305487,94367801,YKL,,
,41923142,94367801,YKL,,
,38863535,74940339,YKL,,
,73821741,74940339,YKL,,
,41923142,74940339,YKL,,
,73728079,74940339,YKL,,
,70332221,9664111,RSR,,
,55567527,9664111,RSR,,
,45466641,9664111,RSR,,
,67917096,9664111,RSR,,
,21665175,70902597,RSR,,
,61999083,70902597,RSR,,
,67917096,70902597,RSR,,
,45466641,70902597,RSR,,
,21665175,94367801,RSR,,
,45466641,94367801,RSR,,
,61999083,94367801,RSR,,
,67917096,94367801,RSR,,
,61999083,74940339,RSR,,
,21665175,74940339,RSR,,
,45466641,74940339,RSR,,
,67917096,74940339,RSR,,
,56240541,9664111,WOL,,
,91355346,9664111,WOL,,
,28164958,9664111,WOL,,
,2248904,9664111,WOL,,
,56240541,70902597,WOL,,
,2248904,70902597,WOL,,
,28374567,70902597,WOL,,
,91355346,70902597,WOL,,
,81848913,70902597,WOL,,
,56240541,94367801,WOL,,
,2248904,94367801,WOL,,
,28374567,94367801,WOL,,
,28164958,94367801,WOL,,
,2248904,74940339,WOL,,
,28164958,74940339,WOL,,
,56240541,74940339,WOL,,
,28374567,74940339,WOL,,
,48165678,74940339,WOL,,
,92508522,9664111,SPO,,
,24449860,9664111,SPO,,
,71420672,9664111,SPO,,
,55887803,9664111,SPO,,
,81311454,70902597,SPO,,
,71420672,70902597,SPO,,
,24449860,70902597,SPO,,
,92508522,70902597,SPO,,
,55887803,70902597,SPO,,
,55887803,94367801,SPO,,
,55567527,94367801,SPO,,
,24449860,94367801,SPO,,
,81311454,94367801,SPO,,
,55887803,74940339,SPO,,
,24449860,74940339,SPO,,
,55567527,74940339,SPO,,
,81311454,74940339,SPO,,
,27446283,9664111,KKZ,,
,79147169,9664111,KKZ,,
,23977516,9664111,KKZ,,
,11145436,9664111,KKZ,,
,79147169,70902597,KKZ,,
,27446283,70902597,KKZ,,
,11145436,70902597,KKZ,,
,23977516,70902597,KKZ,,
,27446283,94367801,KKZ,,
,79147169,94367801,KKZ,,
,23977516,94367801,KKZ,,
,11145436,94367801,KKZ,,
,79147169,74940339,KKZ,,
,27446283,74940339,KKZ,,
,23977516,74940339,KKZ,,
,33525241,74940339,KKZ,,
,84744363,9664111,OCC,,
,58128585,9664111,OCC,,
,86674433,9664111,OCC,,
,84221444,9664111,OCC,,
,98073618,70902597,OCC,,
,98105846,70902597,OCC,,
,76256140,70902597,OCC,,
,33310938,70902597,OCC,,
,84221444,70902597,OCC,,
,84744363,94367801,OCC,,
,58128585,94367801,OCC,,
,84221444,94367801,OCC,,
,86674433,94367801,OCC,,
,7811452,94367801,OCC,,
,7811452,74940339,OCC,,
,84744363,74940339,OCC,,
,58128585,74940339,OCC,,
,64045795,74940339,OCC,,
