Zawodnik,ID_klubu,rok,regaty,numer rundy,poziom_ligi
Przemek Chlebowski,YCS,2020,Sopot (EX i 1L),2,Ekstraklasa
Rafał Sawicki,YKP,2020,Sopot (EX i 1L),2,Ekstraklasa
Wiktor Plitko,OKZ,2020,Sopot (EX i 1L),2,Ekstraklasa
Jacek Puchniarz,YCS,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Jakub Pawluk,LEG,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Krzysztof Małecki,YCG,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Maciek Garniewski,DZY,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Marcin Banaszek,LEG,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Mateusz Kaczmarowski,SPO,2020,Sopot (EX) / Szczecin (1L),3,1 Liga
Paweł Górski,YCS,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Przemek Chlebowski,YCS,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Rafał Sawicki,YKP,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Wiktor Plitko,OKZ,2020,Sopot (EX) / Szczecin (1L),3,Ekstraklasa
Bartosz Sadowski,PGR,2020,Świnoujście (EX) / Szczecin (1L),4,1 Liga
Jacek Puchniarz,YCS,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Jakub Pawluk,LEG,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Krzysztof Małecki,YCG,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Maciek Garniewski,DZY,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Marcin Banaszek,LEG,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Mateusz Kaczmarowski,SPO,2020,Świnoujście (EX) / Szczecin (1L),4,1 Liga
Paweł Górski,YCS,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Paweł Leksycki,PGR,2020,Świnoujście (EX) / Szczecin (1L),4,1 Liga
Przemek Chlebowski,YCS,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Rafał Sawicki,YKP,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Szymon Jabłkowski,77R,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Wiktor Plitko,OKZ,2020,Świnoujście (EX) / Szczecin (1L),4,Ekstraklasa
Bartosz Sadowski,GRP,2021,Sopot,1,1 Liga
Jacek Puchniarz,YCS,2021,Sopot,1,Ekstraklasa
Jakub Pawluk,LEG,2021,Sopot,1,Ekstraklasa
Kacper Olszewski,HRM,2021,Sopot,1,1 Liga
Krzysztof Małecki,GIZ,2021,Sopot,1,Ekstraklasa
Marcin Banaszek,LEG,2021,Sopot,1,Ekstraklasa
Mateusz Kaczmarowski,SPO,2021,Sopot,1,Ekstraklasa
Mateusz Wiśniewski,AWF,2021,Sopot,1,1 Liga
Paweł Górski,YCS,2021,Sopot,1,Ekstraklasa
Paweł Leksycki,PGR,2021,Sopot,1,Ekstraklasa
Przemek Chlebowski,YCS,2021,Sopot,1,Ekstraklasa
Przemysław Witkowski,KKZ,2021,Sopot,1,1 Liga
Rafał Sawicki,YKP,2021,Sopot,1,Ekstraklasa
Wiktor Plitko,OKZ,2021,Sopot,1,Ekstraklasa
Bartosz Sadowski,GRP,2021,Gdynia,2,1 Liga
Jacek Puchniarz,YCS,2021,Gdynia,2,Ekstraklasa
Jakub Pawluk,LEG,2021,Gdynia,2,Ekstraklasa
Kacper Olszewski,HRM,2021,Gdynia,2,1 Liga
Krzysztof Małecki,GIZ,2021,Gdynia,2,Ekstraklasa
Marcin Banaszek,LEG,2021,Gdynia,2,Ekstraklasa
Mateusz Kaczmarowski,SPO,2021,Gdynia,2,Ekstraklasa
Mateusz Wiśniewski,AWF,2021,Gdynia,2,1 Liga
Paweł Górski,YCS,2021,Gdynia,2,Ekstraklasa
Paweł Leksycki,PGR,2021,Gdynia,2,Ekstraklasa
Przemek Chlebowski,YCS,2021,Gdynia,2,Ekstraklasa
Przemysław Witkowski,KKZ,2021,Gdynia,2,1 Liga
Rafał Sawicki,YKP,2021,Gdynia,2,Ekstraklasa
Wiktor Plitko,OKZ,2021,Gdynia,2,Ekstraklasa
Bartosz Sadowski,GRP,2021,Szczecin,3,1 Liga
Jacek Puchniarz,YCS,2021,Szczecin,3,Ekstraklasa
Jakub Pawluk,LEG,2021,Szczecin,3,Ekstraklasa
Kacper Olszewski,HRM,2021,Szczecin,3,1 Liga
Krzysztof Małecki,GIZ,2021,Szczecin,3,Ekstraklasa
Marcin Banaszek,LEG,2021,Szczecin,3,Ekstraklasa
Mateusz Kaczmarowski,SPO,2021,Szczecin,3,Ekstraklasa
Mateusz Wiśniewski,AWF,2021,Szczecin,3,1 Liga
Paweł Górski,YCS,2021,Szczecin,3,Ekstraklasa
Paweł Leksycki,PGR,2021,Szczecin,3,Ekstraklasa
Przemek Chlebowski,YCS,2021,Szczecin,3,Ekstraklasa
Przemysław Witkowski,KKZ,2021,Szczecin,3,Ekstraklasa
Rafał Sawicki,YKP,2021,Szczecin,3,Ekstraklasa
Wiktor Plitko,OKZ,2021,Szczecin,3,Ekstraklasa
Bartosz Sadowski,GRP,2021,Warszawa,4,1 Liga
Jacek Puchniarz,YCS,2021,Warszawa,4,Ekstraklasa
Jakub Pawluk,LEG,2021,Warszawa,4,Ekstraklasa
Krzysztof Małecki,GIZ,2021,Warszawa,4,Ekstraklasa
Marcin Banaszek,LEG,2021,Warszawa,4,Ekstraklasa
Mateusz Kaczmarowski,SPO,2021,Warszawa,4,Ekstraklasa
Mateusz Wiśniewski,AWF,2021,Warszawa,4,1 Liga
Paweł Górski,YCS,2021,Warszawa,4,Ekstraklasa
Paweł Leksycki,PGR,2021,Warszawa,4,Ekstraklasa
Przemek Chlebowski,YCS,2021,Warszawa,4,Ekstraklasa
Przemysław Witkowski,KKZ,2021,Warszawa,4,Ekstraklasa
Rafał Sawicki,YKP,2021,Warszawa,4,Ekstraklasa
Wiktor Plitko,OKZ,2021,Warszawa,4,Ekstraklasa
Aleksander Michalski,RSR,2022,Sopot,1,1 Liga
Bartosz Sadowski,GRP,2022,Sopot,1,1 Liga
Jacek Puchniarz,POL,2022,Sopot,1,1 Liga
Jakub Pawluk,LEG,2022,Sopot,1,Ekstraklasa
Kacper Olszewski,YCG,2022,Sopot,1,Ekstraklasa
Karolina Żurek,PGR,2022,Sopot,1,Ekstraklasa
Krzysztof Małecki,GGR,2022,Sopot,1,Ekstraklasa
Maciek Garniewski,DZY,2022,Sopot,1,Ekstraklasa
Magdalena Kwaśna,YKL,2022,Sopot,1,1 Liga
Maksymilian Burdziej,PGR,2022,Sopot,1,Ekstraklasa
Marcin Banaszek,LEG,2022,Sopot,1,Ekstraklasa
Mateusz Kaczmarowski,SPO,2022,Sopot,1,Ekstraklasa
Mateusz Wiśniewski,AWF,2022,Sopot,1,Ekstraklasa
Patryk Wojtkiewicz,GGR,2022,Sopot,1,Ekstraklasa
Paweł Górski,YCS,2022,Sopot,1,Ekstraklasa
Paweł Leksycki,RSR,2022,Sopot,1,1 Liga
Paweł Nawrocki,YCB,2022,Sopot,1,Ekstraklasa
Przemek Chlebowski,YCS,2022,Sopot,1,Ekstraklasa
Przemysław Witkowski,KKZ,2022,Sopot,1,1 Liga
Rafał Sawicki,BLX,2022,Sopot,1,Ekstraklasa
Wiktor Plitko,OKZ,2022,Sopot,1,Ekstraklasa
Aleksander Michalski,RSR,2022,Gdynia,2,1 Liga
Bartosz Sadowski,GRP,2022,Gdynia,2,1 Liga
Jacek Puchniarz,POL,2022,Gdynia,2,1 Liga
Jakub Pawluk,LEG,2022,Gdynia,2,Ekstraklasa
Kacper Olszewski,YCG,2022,Gdynia,2,Ekstraklasa
Karolina Żurek,PGR,2022,Gdynia,2,Ekstraklasa
Krzysztof Małecki,GGR,2022,Gdynia,2,Ekstraklasa
Maciek Garniewski,DZY,2022,Gdynia,2,Ekstraklasa
Marcin Banaszek,LEG,2022,Gdynia,2,Ekstraklasa
Mateusz Kaczmarowski,SPO,2022,Gdynia,2,Ekstraklasa
Mateusz Wiśniewski,AWF,2022,Gdynia,2,Ekstraklasa
Patryk Kosmalski,PGR,2022,Gdynia,2,Ekstraklasa
Patryk Wojtkiewicz,GGR,2022,Gdynia,2,Ekstraklasa
Paweł Górski,YCS,2022,Gdynia,2,Ekstraklasa
Paweł Leksycki,RSR,2022,Gdynia,2,1 Liga
Paweł Nawrocki,YCB,2022,Gdynia,2,Ekstraklasa
Przemek Chlebowski,YCS,2022,Gdynia,2,Ekstraklasa
Przemysław Witkowski,KKZ,2022,Gdynia,2,1 Liga
Rafał Sawicki,BLX,2022,Gdynia,2,Ekstraklasa
Szymon Jabłkowski,OCC,2022,Gdynia,2,1 Liga
Tomasz Lewandowski,PGR,2022,Gdynia,2,Ekstraklasa
Wiktor Plitko,OKZ,2022,Gdynia,2,Ekstraklasa
Aleksander Michalski,RSR,2022,Trzebież,3,1 Liga
Jacek Puchniarz,POL,2022,Trzebież,3,1 Liga
Jakub Kupś,GRP,2022,Trzebież,3,1 Liga
Jakub Pawluk,LEG,2022,Trzebież,3,Ekstraklasa
Kacper Olszewski,YCG,2022,Trzebież,3,Ekstraklasa
Karolina Żurek,PGR,2022,Trzebież,3,Ekstraklasa
Krzysztof Małecki,GGR,2022,Trzebież,3,Ekstraklasa
Maciek Garniewski,DZY,2022,Trzebież,3,Ekstraklasa
Magdalena Kwaśna,YKL,2022,Trzebież,3,Eks1 Ligatraklasa
Marcin Banaszek,LEG,2022,Trzebież,3,Ekstraklasa
Mateusz Kaczmarowski,SPO,2022,Trzebież,3,Ekstraklasa
Mateusz Wiśniewski,AWF,2022,Trzebież,3,Ekstraklasa
Patryk Kosmalski,PGR,2022,Trzebież,3,Ekstraklasa
Patryk Wojtkiewicz,GGR,2022,Trzebież,3,Ekstraklasa
Paweł Górski,YCS,2022,Trzebież,3,Ekstraklasa
Paweł Leksycki,RSR,2022,Trzebież,3,1 Liga
Paweł Nawrocki,YCB,2022,Trzebież,3,Ekstraklasa
Przemek Chlebowski,YCS,2022,Trzebież,3,Ekstraklasa
Przemysław Witkowski,KKZ,2022,Trzebież,3,1 Liga
Rafał Sawicki,BLX,2022,Trzebież,3,Ekstraklasa
Szymon Jabłkowski,OCC,2022,Trzebież,3,1 Liga
Tomasz Lewandowski,PGR,2022,Trzebież,3,Ekstraklasa
Wiktor Plitko,OKZ,2022,Trzebież,3,Ekstraklasa
Aleksander Michalski,RSR,2022,Warszawa,4,1 Liga
Jacek Puchniarz,POL,2022,Warszawa,4,1 Liga
Jakub Pawluk,LEG,2022,Warszawa,4,Ekstraklasa
Kacper Olszewski,YCG,2022,Warszawa,4,Ekstraklasa
Krzysztof Małecki,GGR,2022,Warszawa,4,Ekstraklasa
Maciek Garniewski,DZY,2022,Warszawa,4,Ekstraklasa
Magdalena Kwaśna,YKL,2022,Warszawa,4,1 Liga
Marcin Banaszek,LEG,2022,Warszawa,4,Ekstraklasa
Mateusz Wiśniewski,AWF,2022,Warszawa,4,Ekstraklasa
Paweł Górski,YCS,2022,Warszawa,4,Ekstraklasa
Paweł Kuszewski,DZY,2022,Warszawa,4,Ekstraklasa
Paweł Leksycki,RSR,2022,Warszawa,4,1 Liga
Paweł Nawrocki,YCB,2022,Warszawa,4,Ekstraklasa
Przemek Chlebowski,YCS,2022,Warszawa,4,Ekstraklasa
Przemysław Witkowski,KKZ,2022,Warszawa,4,1 Liga
