ID_wynikRegat,regaty,klub,miejsceWRegatach
,16116614,GIZ,7
,16116614,PGR,8
,16116614,POG,9
,16116614,ISK,10
,16116614,OKZ,11
,16116614,ODY,12
,16116614,JMZ,13
,16116614,JSG,14
,16116614,PJK,15
,16116614,WOL,16
,16116614,DZY,17
,16116614,YCS,18
,21078561,BLX,1
,21078561,YCG,2
,21078561,LEG,3
,21078561,AWF,4
,21078561,YKS,5
,21078561,WRO,6
,21078561,WAT,7
,21078561,JNG,8
,21078561,POG,9
,21078561,ISK,10
,21078561,SZT,11
,21078561,YCS,12
,21078561,YCB,13
,21078561,SPO,14
,21078561,GAR,15
,21078561,GGR,16
,21078561,PGR,17
,21078561,ODY,18
,4685116,BLX,1
,4685116,LEG,2
,4685116,POG,3
,4685116,PGR,4
,4685116,YCG,5
,4685116,AWF,6
,4685116,YKS,7
,4685116,WAT,8
,4685116,ISK,9
,4685116,SZT,10
,4685116,SPO,11
,4685116,YCB,12
,4685116,WRO,13
,4685116,JNG,14
,4685116,GGR,15
,4685116,YCS,16
,4685116,ODY,17
,4685116,GAR,18
,9923664,BLX,1
,9923664,JNG,2
,9923664,YCG,3
,9923664,YCS,4
,9923664,WAT,5
,9923664,POG,6
,9923664,GGR,7
,9923664,WRO,8
,9923664,ISK,9
,9923664,LEG,10
,9923664,AWF,11
,9923664,PGR,12
,9923664,YKS,13
,9923664,GAR,14
,9923664,SZT,15
,9923664,SPO,16
,9923664,YCB,17
,9923664,ODY,18
,15498062,AWF,1
,15498062,PGR,2
,15498062,WAT,3
,15498062,BLX,4
,15498062,GGR,5
,15498062,JNG,6
,15498062,ISK,7
,15498062,LEG,8
,15498062,GAR,9
,15498062,ODY,10
,15498062,POG,11
,15498062,SPO,12
,15498062,SZT,13
,15498062,WRO,14
,15498062,YKS,15
,15498062,YCB,16
,15498062,YCG,17
,15498062,YCS,18
,46597156,YKL,1
,46597156,YCG,2
,46597156,YKP,3
,46597156,YCS,4
,46597156,SZT,5
,46597156,HRM,6
,46597156,YKS,7
,46597156,LEG,8
,46597156,WAT,9
,46597156,NSO,10
,46597156,POG,11
,46597156,RSR,12
,46597156,ISK,13
,46597156,WRO,14
,46597156,PGR,15
,46597156,AWF,16
,46597156,POL,17
,46597156,OKZ,18
,97148389,POG,1
,97148389,YKS,2
,97148389,HRM,3
,97148389,YCG,4
,97148389,NSO,5
