Plik,Skrót,Nazwa
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,OCC,Ocean Challenge Yacht Club Ladies Sailing Team
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,NAV,UKS Navigo
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,ETI,Etisoft Sailing Team Gliwice
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,POW,SKŻ Powidz
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,GIZ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2021\Ekstraklasa\Runda 1\2021 Ekstraklasa - Sopot.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,GIZ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2021\Ekstraklasa\Runda 2\2021 Ekstraklasa - Gdynia.csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2021\Ekstraklasa\Runda 3\2021 Ekstraklasa - Szczecin.csv,GIZ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,GIZ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2021\Ekstraklasa\Runda 4\2021 Ekstraklasa - Warszawa.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,YKL,Lubelskie YKP Lublin
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,RSR,Rockstars Racing
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,SLA,Slava Racing
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,POL,Polsporty Sailing
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,POW,SKŻ Powidz
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,YKW,YKP Warszawa
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,AK2,Akademia Żeglarstwa w Środzie Wielkopolskiej 2
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,APO,Klub Żeglarski Auto Podlasie
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,OC2,Ocean Challenge Ladies Sailing Team 2
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,ETI,Etisoft Sailing Team
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,MIC,Inex Green Micro Class
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,YZ2,YKP Szczecin 2
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,FLO,Jacht Klub Wielkopolski Flota Online
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,HAL,Klub Żeglarski Hals Gostynin
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,LA2,Lasery Zegrze 2
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,WTR,Warszawskie Towarzystwo Regatowe
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,GR2,Grupa Regatowa Powidz 2
./mnt/data/Regaty\2022\1Liga\Qualifications\2022 Q 1 Liga - Sopot.csv,SAT,Chotomowski Klub Żeglarski Satchwell
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,YKL,Lubelskie YKP Lublin
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,HRM,HRM Racing
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,RSR,Rockstars Racing
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,NAV,Interdoor UKS Navigo
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,POL,Polsporty Sailing
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,GRP,Grupa Regatowa Powidz
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,SLA,Slava Racing
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,OCC,Ocean Challenge Yacht Club
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,ETI,Etisoft 2KMM Sailing Team
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,LAS,Lasery Zegrze
./mnt/data/Regaty\2022\1Liga\Runda 1\2022 1 Liga - Sopot.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,RSR,Rockstars Racing
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,NAV,Interdoor UKS Navigo
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,POL,Polsporty Sailing
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,OCC,Ocean Challenge Yacht Club
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,YKL,Lubelskie YKP Lublin
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,HRM,HRM Racing
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,SLA,Slava Racing
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,GRP,Grupa Regatowa Powidz
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,LAS,Lasery Zegrze
./mnt/data/Regaty\2022\1Liga\Runda 2\2022 1 Liga - Gdynia.csv,ETI,Etisoft 2KMM Sailing Team
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,HRM,HRM Racing
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,RSR,Rockstars Racing
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,POL,Polsporty Sailing
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,YKL,Lubelskie YKP Lublin
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,SLA,Slava Racing
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,OCC,Ocean Challenge Yacht Club
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,ETI,Etisoft 2KMM Sailing Team
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,LAS,Lasery Zegrze
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,NAV,Interdoor UKS Navigo
./mnt/data/Regaty\2022\1Liga\Runda 3\2022 1 Liga - Trzebież.csv,GRP,Grupa Regatowa Powidz
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,HRM,HRM Racing
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,RSR,Rockstars Racing
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,OCC,Ocean Challenge Yacht Club
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,YKL,Lubelskie YKP Lublin
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,POL,Polsporty Sailing
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,SLA,Slava Racing
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,DZY,PŻKS Dżygit Białystok
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,ETI,Etisoft 2KMM Sailing Team
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,GRP,Grupa Regatowa Powidz
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,PJK,Stowarzyszenie PPJK
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,NAV,Interdoor UKS Navigo
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2022\1Liga\Runda 4\2022 1 Liga - Warszawa.csv,LAS,Lasery Zegrze
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,MIC,Inex Green Micro Class
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,YZ2,YKP Szczecin 2
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,HAL,Klub Żeglarski Hals Gostynin
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,YKW,YKP Warszawa
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,SAT,Chotomowski Klub Żeglarski Satchwell
./mnt/data/Regaty\2022\2Liga\Runda 1\2022 2 Liga - Sopot (1).csv,WTR,Warszawskie Towarzystwo Regatowe
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,MIC,Inex Green Micro Class
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,YKW,YKP Warszawa
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,HAL,Klub Żeglarski Hals Gostynin
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,WTR,Warszawskie Towarzystwo Regatowe
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,YZ2,YKP Szczecin 2
./mnt/data/Regaty\2022\2Liga\Runda 2\2022 2 Liga - Sopot (2).csv,SAT,Chotomowski Klub Żeglarski Satchwell
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,MIC,Inex Green Micro Class
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,YZ2,YKP Szczecin 2
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,YKW,YKP Warszawa
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,HAL,Klub Żeglarski Hals Gostynin
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,WTR,Warszawskie Towarzystwo Regatowe
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,SAT,Chotomowski Klub Żeglarski Satchwell
./mnt/data/Regaty\2022\2Liga\Runda 3\2022 2 Liga - Szczecin (1).csv,PJ2,Gandalf Stowarzyszenie PPJK 2
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,HAL,Klub Żeglarski Hals Gostynin
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,MIC,Inex Green Micro Class
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,YZ2,YKP Szczecin 2
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,SAT,Chotomowski Klub Żeglarski Satchwell
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,YKW,YKP Warszawa
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,PJ2,Gandalf Stowarzyszenie PPJK 2
./mnt/data/Regaty\2022\2Liga\Runda 4\2022 2 Liga - Szczecin (2).csv,WTR,Warszawskie Towarzystwo Regatowe
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,BLX,Balex YKP Gdynia
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,AWF,AZS AWFiS Gdańsk
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,YKS,YKP Szczecin
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,WRO,UKS Żeglarz Wrocław
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,WAT,AZS WAT Warszawa
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,JNG,Junga Gdynia Olsztyński Klub Żeglarski
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,POG,Pogoń Szczecin
./mnt/data/Regaty\2022\Ekstraklasa\Runda 1\2022 Ekstraklasa - Sopot.csv,ISK,KS Iskra AMW Gdynia
