Plik,Skrót,Nazwa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,POG,SEJK Pogon Szczecin
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,JEZ,Yacht Club Jeziorak
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,JK2,Jacht Klub Gryf Gdynia 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,JKM,Jacht Klub Gryf Gdynia
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,WTZ,Warszawskie Towarzystwo Zeglarskie
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,DZY,PZKS Dzygit Bialystok
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,YC2,Yacht Club Sopot 2
./mnt/data/Regaty\2018\Ekstraklasa\Runda 2\2018 ekstraklasa - Szczecin.csv,BOL,Sailing Team Boleslawiec
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,OKZ,Olsztynski Klub Zeglarski
./mnt/data/Regaty\2018\Ekstraklasa\Runda 3\2018 ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
