Zawodnik,Klub,Runda
Piotr Inglot,KKZ,2
Mieszko Mórawski,KKZ,2
Daniel Sokołowski,KKZ,3
Przemysław Witkowski,KKZ,3
Mieszko Mórawski,KKZ,3
Piotr Inglot,KKZ,3
Przemysław Witkowski,KKZ,4
Daniel Sokołowski,KKZ,4
Mieszko Mórawski,KKZ,4
Michał Smuszkiewicz,KKZ,4
Przemek Płóciennik,OCC,1
Kasia Goralska,OCC,1
Bartek Rominiecki,OCC,1
Stanley Barczyński,OCC,1
Łukasz Wosiński,OCC,2
Paweł suchocki,OCC,2
Gustaw Miciński,OCC,2
Wiktor Wosiński,OCC,2
Stanley Barczyński,OCC,2
Przemek Płóciennik,OCC,3
Kasia Goralska,OCC,3
Stanley Barczyński,OCC,3
Bartek Rominiecki,OCC,3
Bartosz Bartnicki,OCC,3
Bartosz Bartnicki,OCC,4
Przemek Płóciennik,OCC,4
Kasia Goralska,OCC,4
Maja Micińska,OCC,4
