plik,poziom_z_folderu,klub
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,RMR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,PGR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,RMR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,AWK
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,GKZ
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,SZT
./mnt/data/Regaty\2016\Ekstraklasa\Runda 4\2016 ekstraklasa - Sopot.csv,Ekstraklasa,REW
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,LEGIA
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,YCG
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,KPM
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,YCS AWF
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,DZYGIT
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2017\Ekstraklasa\Runda 1\2017 ekstraklasa - Sopot.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,DZYGIT
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,YCS AWF
./mnt/data/Regaty\2017\Ekstraklasa\Runda 2\2017 ekstraklasa - Świnoujście.csv,Ekstraklasa,YCG
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,OKZ
./mnt/data/Regaty\2017\Ekstraklasa\Runda 3\2017 ekstraklasa - Gdynia.csv,Ekstraklasa,MOS
